QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
2963,1,1944,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202439,2,1,,,1.0,,,,,,4,2,202439,2,0
2965,1,1954,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202440,5,1,,,1.0,,,,,,5,5,202440,3,0
2977,1,1959,47,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202438,5,1,,,1.0,,,,,,5,5,202438,3,0
2980,2,1956,50,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1992,2,1,1.0,1.0,,,,,,,1,3,1992,2,0
2986,2,1943,62,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1129,3,1,,,,1.0,,,,,2,2,1129,3,0
2990,2,1960,45,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1173,5,1,,,1.0,,,,,,5,4,1173,3,0
2993,2,1955,50,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1168,3,1,,,1.0,,,,,,4,3,1168,3,0
2995,2,1946,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1172,3,1,,,1.0,,,,,,4,3,1172,3,0
2996,2,1956,50,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,7800,3,1,,,,1.0,,,,,3,3,7800,3,0
2998,1,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202530,3,5,,,1.0,,,,,,5,2,202530,3,0
3000,2,1954,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1162,5,5,,,1.0,,,,,,4,2,1162,3,0
3001,2,1941,66,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1164,5,5,,1.0,1.0,,,,,,3,1,1164,3,0
